Region,BLOCK.POS,Sample.ID,Family.Unique,Population,mmol/s2,temp,humidity,date
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,453.8,16,83,8.1.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,354.7,16,83,8.1.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,486.5,16,83,8.1.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,367.8,16,83,8.1.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,520.4,16,83,8.1.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,565.6,16,78,8.1.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,615.1,16,78,8.1.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,478.1,16,78,8.1.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,489.4,16,78,8.1.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,493.4,16,78,8.1.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,360.8,16,78,8.1.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,447.4,16,78,8.1.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,506.7,16,78,8.1.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,372.7,16,78,8.1.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,566.6,16,78,8.1.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,459.2,18,71,8.2.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,450.2,18,71,8.2.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,497,18,71,8.2.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,489.7,18,71,8.2.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,565.3,18,71,8.2.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,487.5,18,71,8.2.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,569.7,18,71,8.2.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,527.9,18,71,8.2.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,215.7,18,71,8.2.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,572.5,18,71,8.2.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,500.7,18,67,8.2.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,594.9,18,67,8.2.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,526.4,18,67,8.2.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,488.9,18,67,8.2.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,344.9,18,67,8.2.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,469.4,18,67,8.2.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,610.5,18,67,8.2.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,650.1,18,67,8.2.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,433.5,18,67,8.2.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,499,18,67,8.2.18
